source,original_path,working_path,target_class,target_class_id,original_split,annotation_status,has_ground_truth,label_path
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/001.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__001.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/002.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__002.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/003.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__003.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/004.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__004.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/005.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__005.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/006.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__006.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/007.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__007.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/008.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__008.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/009.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__009.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/010.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__010.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/011.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__011.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/012.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__012.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/013.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__013.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/014.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__014.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/015.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__015.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/016.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__016.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/017.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__017.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/018.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__018.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/019.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__019.jpg,brake_pad,0,train,PENDING,false,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/020.jpg,ia-service/datasets/annotation_batch/images/brake_pad/train__brake_pad__020.jpg,brake_pad,0,train,PENDING,false,
