source,original_path,target_class,target_class_id,original_split,review_status,review_notes,review_path,review_label_path
gpiosenka/car-parts-40-classes,car parts 50/train/ALTERNATOR/001.jpg,alternator,3,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/alternator/train__alternator__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/ALTERNATOR/002.jpg,alternator,3,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/alternator/train__alternator__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/ALTERNATOR/003.jpg,alternator,3,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/alternator/train__alternator__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/ALTERNATOR/004.jpg,alternator,3,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/alternator/train__alternator__004.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE CALIPER/001.jpg,brake_caliper,2,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_caliper/train__brake_caliper__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE CALIPER/002.jpg,brake_caliper,2,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_caliper/train__brake_caliper__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE CALIPER/003.jpg,brake_caliper,2,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_caliper/train__brake_caliper__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE CALIPER/004.jpg,brake_caliper,2,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_caliper/train__brake_caliper__004.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/001.jpg,brake_pad,0,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_pad/train__brake_pad__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/002.jpg,brake_pad,0,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_pad/train__brake_pad__002.jpg,
